Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 66.0.3359.139,,2018-05-04 16:10:55,2018-05-04 16:11:15,19.911s,FAILED
,,,,,,
Test Cases/login/login_invalid_logout,Chrome 66.0.3359.139,,2018-05-04 16:10:55,2018-05-04 16:11:12,16.614s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 16:10:55,2018-05-04 16:11:03,7.371s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:11:03,2018-05-04 16:11:04,0.979s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 16:11:04,2018-05-04 16:11:04,0.151s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uD2C0\uB9BC \uC785\uB825\r\n,2018-05-04 16:11:04,2018-05-04 16:11:04,0.115s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:11:04,2018-05-04 16:11:04,0.093s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 16:11:04,2018-05-04 16:11:06,2.023s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 16:11:06,2018-05-04 16:11:06,0.022s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 16:11:06,2018-05-04 16:11:06,0.087s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uC785\uB825\r\n,2018-05-04 16:11:06,2018-05-04 16:11:06,0.076s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:11:06,2018-05-04 16:11:06,0.041s,PASSED
click,Chrome 66.0.3359.139,\uB85C\uADF8\uC544\uC6C3 \uD074\uB9AD\r\n,2018-05-04 16:11:06,2018-05-04 16:11:08,2.079s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 16:11:08,2018-05-04 16:11:10,2.002s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 16:11:10,2018-05-04 16:11:10,0.011s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:11:10,2018-05-04 16:11:12,1.295s,PASSED
,,,,,,
"Test Cases/login/login_ID, PW search",Chrome 66.0.3359.139,,2018-05-04 16:11:12,2018-05-04 16:11:14,2.341s,FAILED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-04 16:11:12,2018-05-04 16:11:13,0.760s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:11:13,2018-05-04 16:11:13,0.782s,PASSED
click,Chrome 66.0.3359.139,\uC544\uC774\uB514 \uCC3E\uAE30,2018-05-04 16:11:13,2018-05-04 16:11:14,0.402s,PASSED
setText,Chrome 66.0.3359.139,\uC774\uB984\uC785\uB825,2018-05-04 16:11:14,2018-05-04 16:11:14,0.101s,PASSED
setText,Chrome 66.0.3359.139,\uC774\uBA54\uC77C \uC785\uB825,2018-05-04 16:11:14,2018-05-04 16:11:14,0.114s,PASSED
verifyMatch,Chrome 66.0.3359.139,ID hwanta \uD655\uC778,2018-05-04 16:11:14,2018-05-04 16:11:14,0.011s,FAILED
